Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
Arifanti et al. 2019,3007_5,Published,IDN,Indonesia,117.5011,-0.51505,Indo West Pacific,II Small delta,7.5,27.1,16,3620,233.7,NA,
Arifanti et al. 2019,3007_6,Published,IDN,Indonesia,117.5011,-0.51505,Indo West Pacific,II Small delta,13.9,13.5,32,2120,233.7,NA,
Arifanti et al. 2019,3007_7,Published,IDN,Indonesia,117.5586,-0.5054,Indo West Pacific,II Small delta,10,33.5,19,2412,343.2,NA,
Arifanti et al. 2019,3007_8,Published,IDN,Indonesia,117.5198,-0.35083,Indo West Pacific,II Small delta,10.4,7,47,5573,176.8,NA,
Arifanti et al. 2019,3007_9,Published,IDN,Indonesia,117.5024,-0.35053,Indo West Pacific,II Small delta,16.5,5.4,81,3794,237.9,NA,
Arreola-Liz???raga et al. 2004,1017,Published,MEX,Mexico,-110.5548,27.87876111,Atlantic East Pacific,VI Arheic,6.1,2.7,13.5,4700,19.7,4,
Ashton et al. 1999,579,Published,MYS,Malaysia,100.616402,4.834559,Indo West Pacific,III Tidal system,18,NA,62.16,2600,NA,4,
Aslan unpublished,3000_1,Unpublished,IDN,Indonesia,136.79311,-4.81478,Indo West Pacific,III Tidal system,28.16,12.6,29.8,479,400.2,NA,
Aslan unpublished,3000_10,Unpublished,IDN,Indonesia,136.6967,-4.79839,Indo West Pacific,III Tidal system,22.04,10.8,27.8,730,416.4,NA,
Aslan unpublished,3000_11,Unpublished,IDN,Indonesia,136.68529,-4.80147,Indo West Pacific,III Tidal system,28.52,13,32.5,509,449.2,NA,
Aslan unpublished,3000_12,Unpublished,IDN,Indonesia,136.68511,-4.81986,Indo West Pacific,III Tidal system,13.51,10,26,1818,216.2,NA,
Aslan unpublished,3000_13,Unpublished,IDN,Indonesia,136.88266,-4.84117,Indo West Pacific,III Tidal system,17.71,11.4,33.6,1365,457,NA,
Aslan unpublished,3000_14,Unpublished,IDN,Indonesia,136.81305,-4.81006,Indo West Pacific,III Tidal system,20.54,10.2,38.9,1174,374.1,NA,
Aslan unpublished,3000_15,Unpublished,IDN,Indonesia,136.77134,-4.71532,Indo West Pacific,III Tidal system,22.9,10.9,26.1,633,121.7,NA,
Aslan unpublished,3000_16,Unpublished,IDN,Indonesia,136.80896,-4.89496,Indo West Pacific,III Tidal system,18.89,10.6,24,858,210.1,NA,
Aslan unpublished,3000_17,Unpublished,IDN,Indonesia,136.82757,-4.77349,Indo West Pacific,III Tidal system,22.19,12,33.7,872,232.5,NA,
Aslan unpublished,3000_18,Unpublished,IDN,Indonesia,136.83691,-4.70809,Indo West Pacific,III Tidal system,17.35,9.7,26.1,1103,146.5,NA,
Aslan unpublished,3000_19,Unpublished,IDN,Indonesia,136.83344,-4.6956,Indo West Pacific,III Tidal system,17.51,8,36.3,1507,171,NA,
Aslan unpublished,3000_2,Unpublished,IDN,Indonesia,136.8431,-4.74908,Indo West Pacific,III Tidal system,17.77,7.4,22.9,922,105.1,NA,
Aslan unpublished,3000_20,Unpublished,IDN,Indonesia,136.7641,-4.74227,Indo West Pacific,III Tidal system,15.45,10.7,18.6,995,105.1,NA,
Aslan unpublished,3000_21,Unpublished,IDN,Indonesia,136.7807,-4.72848,Indo West Pacific,III Tidal system,19.13,11,19.2,669,119.5,NA,
Aslan unpublished,3000_22,Unpublished,IDN,Indonesia,136.74677,-4.83634,Indo West Pacific,III Tidal system,23.64,7.3,29.4,671,398.1,NA,
Aslan unpublished,3000_23,Unpublished,IDN,Indonesia,136.91269,-4.86853,Indo West Pacific,III Tidal system,18.26,11.4,28.6,1091,429.2,NA,
Aslan unpublished,3000_24,Unpublished,IDN,Indonesia,136.74799,-4.83495,Indo West Pacific,III Tidal system,27.72,14.1,35.8,594,369.3,NA,
Aslan unpublished,3000_25,Unpublished,IDN,Indonesia,136.45995,-4.53456,Indo West Pacific,III Tidal system,12.08,6.3,14.2,1243,84.3,NA,
Aslan unpublished,3000_26,Unpublished,IDN,Indonesia,136.41305,-4.53512,Indo West Pacific,III Tidal system,22.55,11.3,29,726,166.9,NA,
Aslan unpublished,3000_27,Unpublished,IDN,Indonesia,136.43311,-4.66101,Indo West Pacific,III Tidal system,20.72,10.3,45.6,1352,335.8,NA,
Aslan unpublished,3000_28,Unpublished,IDN,Indonesia,136.42106,-4.66973,Indo West Pacific,III Tidal system,16.6,9,32.5,1504,196.9,NA,
Aslan unpublished,3000_29,Unpublished,IDN,Indonesia,136.41703,-4.68591,Indo West Pacific,III Tidal system,23.07,11.5,46,1100,627.3,NA,
Aslan unpublished,3000_3,Unpublished,IDN,Indonesia,136.84824,-4.74771,Indo West Pacific,III Tidal system,25.76,13.3,31.5,605,421.7,NA,
Aslan unpublished,3000_30,Unpublished,IDN,Indonesia,136.4051,-4.69371,Indo West Pacific,III Tidal system,29.78,13.2,42.6,611,735,NA,
Aslan unpublished,3000_31,Unpublished,IDN,Indonesia,136.43571,-4.72049,Indo West Pacific,III Tidal system,10.89,5.6,19.5,2096,148,NA,
Aslan unpublished,3000_32,Unpublished,IDN,Indonesia,136.45714,-4.73361,Indo West Pacific,III Tidal system,8.54,4,11,1915,66.3,NA,
Aslan unpublished,3000_33,Unpublished,IDN,Indonesia,136.45617,-4.72101,Indo West Pacific,III Tidal system,24.05,10,22.9,505,255.3,NA,
Aslan unpublished,3000_34,Unpublished,IDN,Indonesia,136.82629,-4.86837,Indo West Pacific,III Tidal system,23.46,13.2,41.3,956,334.4,NA,
Aslan unpublished,3000_35,Unpublished,IDN,Indonesia,136.73077,-4.85992,Indo West Pacific,III Tidal system,20.63,11.6,39.8,1193,341,NA,
Aslan unpublished,3000_36,Unpublished,IDN,Indonesia,136.75636,-4.84341,Indo West Pacific,III Tidal system,22.03,5.6,31.1,817,426.9,NA,
Aslan unpublished,3000_37,Unpublished,IDN,Indonesia,136.75456,-4.83911,Indo West Pacific,III Tidal system,18.85,11.4,30.1,1078,264.1,NA,
Aslan unpublished,3000_38,Unpublished,IDN,Indonesia,136.83226,-4.91223,Indo West Pacific,III Tidal system,11.33,6,15.9,1581,103.5,NA,
Aslan unpublished,3000_39,Unpublished,IDN,Indonesia,136.74605,-4.81441,Indo West Pacific,III Tidal system,22.29,12.4,31,795,312.6,NA,
Aslan unpublished,3000_4,Unpublished,IDN,Indonesia,136.84963,-4.75451,Indo West Pacific,III Tidal system,19.84,10.3,20.2,653,206.7,NA,
Aslan unpublished,3000_40,Unpublished,IDN,Indonesia,136.73569,-4.76936,Indo West Pacific,III Tidal system,20.35,10.2,26.7,820,365,NA,
Aslan unpublished,3000_41,Unpublished,IDN,Indonesia,136.8111,-4.89043,Indo West Pacific,III Tidal system,20.16,12,28.3,887,250.3,NA,
Aslan unpublished,3000_5,Unpublished,IDN,Indonesia,136.84615,-4.75308,Indo West Pacific,III Tidal system,16.42,9.7,21,992,123.2,NA,
Aslan unpublished,3000_6,Unpublished,IDN,Indonesia,136.73888,-4.8677,Indo West Pacific,III Tidal system,19.94,9.9,42,1346,308.9,NA,
Aslan unpublished,3000_7,Unpublished,IDN,Indonesia,136.69193,-4.83941,Indo West Pacific,III Tidal system,9.82,6.9,16,2112,107.2,NA,
Aslan unpublished,3000_8,Unpublished,IDN,Indonesia,136.74916,-4.70961,Indo West Pacific,III Tidal system,19.02,9.5,23.7,835,129.6,NA,
Aslan unpublished,3000_9,Unpublished,IDN,Indonesia,136.71394,-4.8106,Indo West Pacific,III Tidal system,16.28,6.7,22,1055,185.9,NA,
Ball 1980,1018_1,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,6.1,6,6.2,3280,20.05,2,
Ball 1980,1018_10,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,8.5,8,9.9,2516,42.69,2,
Ball 1980,1018_11,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,5.3,9,20.1,8505,97.51,2,
Ball 1980,1018_12,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,5.1,10,13.6,8044,73.3,2,
Ball 1980,1018_13,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,5.95,10,16.1,4625,86.78,2,
Ball 1980,1018_14,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,5.1,10,15.7,7476,84.62,2,
Ball 1980,1018_15,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,6.4,9.5,18.4,4589,94.22,2,
Ball 1980,1018_16,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,3.3,3.5,3.7,4191,6.98,2,
Ball 1980,1018_17,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,3,3.5,3.7,5384,6.98,2,
Ball 1980,1018_18,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,4,5.5,16.3,11674,48.32,2,
Ball 1980,1018_19,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,3.55,5.5,19.1,18032,56.62,2,
Ball 1980,1018_2,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,4.9,5,13.3,6505,35.84,1,
Ball 1980,1018_3,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,7.8,13,13.7,2849,96,1,
Ball 1980,1018_4,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,11.1,20,12.5,1237,134.75,1,
Ball 1980,1018_5,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,13.2,24,35.7,1989,461.82,1,
Ball 1980,1018_6,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,6,10,19.5,8202,105.11,2,
Ball 1980,1018_7,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,4.5,6,20.4,11526,65.97,2,
Ball 1980,1018_8,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,3.15,5.5,13.8,17394,40.91,2,
Ball 1980,1018_9,Published,USA,United States,-80.164319,25.70527222,Atlantic East Pacific,V Carbonate,3.55,5.5,16.8,14566,49.8,2,
Bandeira et al. 2009,504_1,Published,MOZ,Mozambique,32.915181,-26.036686,Indo West Pacific,IV Lagoon,16.83,3.88,10.31,1966,21.56,4,
Bandeira et al. 2009,504_2,Published,MOZ,Mozambique,32.94963,-26.001316,Indo West Pacific,IV Lagoon,7.84,2.48,1.56,3680,2.09,4,
Bandeira et al. 2009,504_3,Published,MOZ,Mozambique,40.559766,-13.320456,Indo West Pacific,II Small delta,10.72,3.23,2.57,2180,4.47,5,
Bandeira et al. 2009,504_4,Published,MOZ,Mozambique,40.469692,-13.034691,Indo West Pacific,II Small delta,11.76,3.41,23.03,2753,42.33,5,
Bandeira et al. 2009,504_5,Published,MOZ,Mozambique,40.545694,-12.386915,Indo West Pacific,II Small delta,10.62,2.98,5.72,2080,9.19,4,
Bandeira et al. 2009,504_6,Published,MOZ,Mozambique,40.434238,-11.594168,Indo West Pacific,II Small delta,11.46,2.19,8.73,2260,10.3,4,
Bandeira et al. 2009,504_7,Published,MOZ,Mozambique,40.443373,-11.415649,Indo West Pacific,II Small delta,7.73,2.71,3.21,3120,4.69,5,
Bandeira et al. 2009,504_8,Published,TZA,Tanzania,40.417531,-10.346399,Indo West Pacific,II Small delta,10,5.16,1.16,1480,3.23,4,
Bandeira et al. 2009,504_9,Published,TZA,Tanzania,40.365887,-10.362323,Indo West Pacific,II Small delta,8.17,3.77,0.82,2286,1.67,3,
Banerjee & Mitra 2015,563_1,Published,IND,India,88.32504,21.624296,Indo West Pacific,III Tidal system,NA,NA,NA,NA,465.9,3,
Banerjee & Mitra 2015,563_2,Published,IND,India,88.88371,22.066543,Indo West Pacific,III Tidal system,NA,NA,NA,NA,396.25,3,
Barreiro-G???mes 1999,1020_1,Published,MEX,Mexico,-91.924931,18.57713333,Atlantic East Pacific,IV Lagoon,10.9,7.4,32.15,3100,128.23,3,
Barreiro-G???mes 1999,1020_2,Published,MEX,Mexico,-91.973806,18.52792778,Atlantic East Pacific,IV Lagoon,10.3,4.6,31.81,5000,78.87,3,
Barreiro-G???mes 1999,1020_3,Published,MEX,Mexico,-92.123442,18.57553056,Atlantic East Pacific,I Large river,23.5,12.5,79.3,1650,534.28,3,
Barreiro-G???mes 1999,1020_4,Published,MEX,Mexico,-92.191789,18.54103056,Atlantic East Pacific,I Large river,19,11.3,67.34,2200,410.15,3,
Barroso-Matos et al. 2012,66_1,Published,BRA,Brazil,-41.053714,-21.597889,Atlantic East Pacific,III Tidal system,NA,NA,NA,NA,NA,1,
Barroso-Matos et al. 2012,66_2,Published,BRA,Brazil,-41.051819,-21.607711,Atlantic East Pacific,III Tidal system,NA,NA,NA,NA,NA,1,
Barroso-Matos et al. 2012,66_3,Published,BRA,Brazil,-41.049111,-21.605939,Atlantic East Pacific,III Tidal system,NA,NA,NA,NA,NA,1,
Basa???z-Mu???z et al. 2008,1021_1,Published,MEX,Mexico,-97.813373,22.24656,Atlantic East Pacific,IV Lagoon,6.23,2.35,NA,NA,NA,4,
Basa???z-Mu???z et al. 2008,1021_2,Published,MEX,Mexico,-97.813373,22.24656,Atlantic East Pacific,IV Lagoon,7.59,3.06,NA,NA,NA,2,
Basa???z-Mu???z et al. 2008,1021_3,Published,MEX,Mexico,-97.813373,22.24656,Atlantic East Pacific,IV Lagoon,6.54,3.05,NA,NA,NA,3,
Basa???z-Mu???z et al. 2008,1021_4,Published,MEX,Mexico,-97.813373,22.24656,Atlantic East Pacific,IV Lagoon,7.09,3.52,NA,NA,NA,2,
Basa???z-Mu???z et al. 2008,1021_5,Published,MEX,Mexico,-97.813373,22.24656,Atlantic East Pacific,IV Lagoon,8.2,3.1,59.82,1000,99.95,NA,
Bastos & Lobato 1996,1022_2,Published,BRA,Brazil,-47.696197,-0.71046389,Atlantic East Pacific,III Tidal system,22.12,8.1,43.8,1140,191.23,3,
Benson et al. 2017,545_1,Published,MDG,Madagascar,43.303287,-22.191792,Indo West Pacific,III Tidal system,8.41,6,20.72,3746,66.96,2,
Bernini & Rezende 2004,1025_1,Published,BRA,Brazil,-41.05,-21.6,Atlantic East Pacific,III Tidal system,7.44,6.3,14.47,3401,49.14,3,
Bernini & Rezende 2004,1025_2,Published,BRA,Brazil,-41.05,-21.6,Atlantic East Pacific,III Tidal system,9.99,8,14.96,1920,64.51,3,
Bernini & Rezende 2004,1025_3,Published,BRA,Brazil,-41.05,-21.6,Atlantic East Pacific,III Tidal system,13.4,9.9,37.44,2955,199.78,3,
Bernini & Rezende 2004,1025_4,Published,BRA,Brazil,-41.05,-21.6,Atlantic East Pacific,III Tidal system,11.7,9.5,21.46,2217,109.89,3,
Bernini & Rezende 2010,1023_1,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,4,5.2,13.5,10700,37.84,2,
Bernini & Rezende 2010,1023_10,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,9.6,10.1,18.7,2560,101.8,2,
Bernini & Rezende 2010,1023_11,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,13.5,8.9,38.6,2700,185.17,1,
Bernini & Rezende 2010,1023_12,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,5.5,7.7,13.6,5846,56.44,3,
Bernini & Rezende 2010,1023_13,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,4.9,6.9,34.4,18143,127.94,2,
Bernini & Rezende 2010,1023_2,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,5,6.6,17,8800,60.48,3,
Bernini & Rezende 2010,1023_3,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,3.9,4.8,14.9,12500,38.55,3,
Bernini & Rezende 2010,1023_4,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,8.8,5.2,17.4,2875,48.77,3,
Bernini & Rezende 2010,1023_5,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,3.7,4,23.1,21000,49.8,1,
Bernini & Rezende 2010,1023_6,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,13.1,7,19.8,1475,74.71,3,
Bernini & Rezende 2010,1023_7,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,6.9,6.1,25.9,7000,85.16,2,
Bernini & Rezende 2010,1023_8,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,9.3,6.1,17.7,2583,58.2,2,
Bernini & Rezende 2010,1023_9,Published,BRA,Brazil,-40.966667,-21.28333333,Atlantic East Pacific,III Tidal system,11.6,6.6,48.3,4600,171.82,2,
Bernini & Rezende 2011,1024_1,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,10.7,7.8,19.9,2360,83.66,2,
Bernini & Rezende 2011,1024_10,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,7,6.8,22.1,5833,81,3,
Bernini & Rezende 2011,1024_11,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,14.6,10.9,21,1297,123.38,3,
Bernini & Rezende 2011,1024_12,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,6.2,6.7,15.1,5067,54.53,2,
Bernini & Rezende 2011,1024_13,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,23.5,14.5,46.4,1075,362.64,1,
Bernini & Rezende 2011,1024_14,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,16.7,12.5,15.9,732,107.13,2,
Bernini & Rezende 2011,1024_15,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,15,9.7,18.6,1140,97.25,3,
Bernini & Rezende 2011,1024_16,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,10,8.9,24.4,3917,117.05,3,
Bernini & Rezende 2011,1024_17,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,3.7,5.7,25.2,24060,77.42,2,
Bernini & Rezende 2011,1024_2,Published,BRA,Brazil,-41.037519,-21.60091667,Atlantic East Pacific,III Tidal system,9,6.1,19.2,3931,63.13,3,
Bernini & Rezende 2011,1024_3,Published,BRA,Brazil,-41.037519,-21.60091667,Atlantic East Pacific,III Tidal system,15,9.4,19.7,1139,99.81,3,
Bernini & Rezende 2011,1024_4,Published,BRA,Brazil,-41.037519,-21.60091667,Atlantic East Pacific,III Tidal system,12,7.7,24.6,2207,102.1,3,
Bernini & Rezende 2011,1024_5,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,10.7,7.7,16.8,1857,69.73,2,
Bernini & Rezende 2011,1024_6,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,4.9,5.2,23.5,12300,65.87,2,
Bernini & Rezende 2011,1024_7,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,14.4,10.6,25.3,1500,144.55,3,
Bernini & Rezende 2011,1024_8,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,5.7,6.1,21.2,9200,69.7,2,
Bernini & Rezende 2011,1024_9,Published,BRA,Brazil,-41.033333,-21.6,Atlantic East Pacific,III Tidal system,6.1,7,23.7,8983,89.42,2,
Bhomia et al. 2016,557_2,Published,IND,India,86.731199,20.388275,Indo West Pacific,I Large river,NA,12.19,23.7,2440,155.75,5,
Bhomia et al. 2016,557_3,Published,IND,India,86.734534,20.475326,Indo West Pacific,I Large river,NA,12.1,15.9,1670,103.7,4,
BIOMARCC-SINAC-GIZ 2012,1026_1,Published,CRI,Costa Rica,-83.600778,8.89140278,Atlantic East Pacific,II Small delta,NA,NA,NA,NA,55.45,NA,
BIOMARCC-SINAC-GIZ 2012,1026_2,Published,CRI,Costa Rica,-83.600778,8.89140278,Atlantic East Pacific,II Small delta,NA,NA,NA,NA,92.22,NA,
BIOMARCC-SINAC-GIZ 2012,1026_3,Published,CRI,Costa Rica,-83.600778,8.89140278,Atlantic East Pacific,II Small delta,NA,NA,NA,NA,86.12,NA,
BIOMARCC-SINAC-GIZ 2012,1026_4,Published,CRI,Costa Rica,-83.600778,8.89140278,Atlantic East Pacific,II Small delta,NA,NA,NA,NA,120.12,NA,
Blanco & Casta??? 2012,1027_1,Published,COL,Colombia,-76.739722,8.095,Atlantic East Pacific,I Large river,21.7,14.7,8.72,236,69.12,1,
Blanco & Casta??? 2012,1027_2,Published,COL,Colombia,-76.739722,8.095,Atlantic East Pacific,I Large river,23.1,15.4,8.13,194,67.45,1,
Blanco & Casta??? 2012,1027_3,Published,COL,Colombia,-76.739722,8.095,Atlantic East Pacific,I Large river,23.7,13.6,6.44,146,47.19,1,
Blanco & Cho-Ricketts 2015,3063_1,Published,BLZ,Belize_Turneffe,-87.838322,17.43738,Atlantic East Pacific,IV Lagoon,16,6,34.1,1693,130.5,2,
Blanco & Cho-Ricketts 2015,3063_2,Published,BLZ,Belize_Turneffe,-87.838322,17.43738,Atlantic East Pacific,IV Lagoon,17.4,7.4,13.3,562,62,2,
Blanco & Cho-Ricketts 2015,3063_3,Published,BLZ,Belize_Turneffe,-87.838322,17.43738,Atlantic East Pacific,IV Lagoon,10.7,6.6,25,2765,101.4,2,
Blanco & Cho-Ricketts 2015,3063_4,Published,BLZ,Belize_Turneffe,-87.838322,17.43738,Atlantic East Pacific,IV Lagoon,6.2,3.4,9.2,3016,26.3,2,
Blanco & Cho-Ricketts 2015,3063_5,Published,BLZ,Belize_Turneffe,-87.838322,17.43738,Atlantic East Pacific,IV Lagoon,7.7,5.6,24.1,5175,104.2,2,
Boer 2000,80,Published,MOZ,Mozambique,32.914679,-26.036074,Indo West Pacific,IV Lagoon,6.4,2.2,19.45,6047,106.95,4,
Bosire et al. 2006,83,Published,KEN,Kenya,39.526721,-4.414226,Indo West Pacific,IV Lagoon,11.37,7.35,37.7,3714,149.35,2,
Braga et al. 1989,1028_1,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,18.98,17.8,48.12,1700,461.67,NA,
Braga et al. 1989,1028_2,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,13.64,13.8,24.85,1600,184.84,NA,
Braga et al. 1989,1028_3,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,6.82,9.6,29.3,2100,151.61,NA,
Braga et al. 1989,1028_4,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,10.16,14.4,24.93,4700,193.5,NA,
Braga et al. 1989,1028_5,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,4.52,10,18,11000,97.02,NA,
Braga et al. 1989,1028_6,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,4.5,15,23.94,1800,193.55,NA,
Briggs 1977,5,Published,AUS,Australia,151.142923,-33.818454,Indo West Pacific,III Tidal system,NA,7.34,32.5,1939,128.4,1,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_1,Published,THA,Thailand,98.9534,8.0362,Indo West Pacific,V Carbonate,10.55,10.8,28.39,3248,164.83,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_10,Published,THA,Thailand,98.9446,8.0584,Indo West Pacific,V Carbonate,10,8.7,23.48,2988,109.79,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_100,Published,THA,Thailand,99.5722,7.3727,Indo West Pacific,V Carbonate,7.46,8.2,16.73,3833,74.12,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_101,Published,THA,Thailand,99.5724,7.3727,Indo West Pacific,V Carbonate,7.76,8.6,21.82,4612,101.54,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_102,Published,THA,Thailand,99.5724,7.3726,Indo West Pacific,V Carbonate,7.96,8.7,27.81,5587,130.79,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_103,Published,THA,Thailand,99.5732,7.373,Indo West Pacific,V Carbonate,7.07,8.4,14.79,3768,66.98,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_104,Published,THA,Thailand,99.5763,7.3709,Indo West Pacific,V Carbonate,17.28,12.3,19.8,845,131.71,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_105,Published,THA,Thailand,99.5761,7.3712,Indo West Pacific,V Carbonate,15.65,12.1,27.46,1429,178.64,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_106,Published,THA,Thailand,99.576,7.3714,Indo West Pacific,V Carbonate,15.9,12.8,10.31,520,71.15,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_107,Published,THA,Thailand,99.5759,7.3716,Indo West Pacific,V Carbonate,32.48,20.9,32.27,390,364.08,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_108,Published,THA,Thailand,99.5793,7.3734,Indo West Pacific,V Carbonate,25.2,19.4,48.57,974,506.82,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_109,Published,THA,Thailand,99.5791,7.3736,Indo West Pacific,V Carbonate,25.99,20.6,41.32,780,459.39,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_11,Published,THA,Thailand,98.9494,8.0693,Indo West Pacific,V Carbonate,10.75,8.8,25.93,2858,122.49,NA,
Bukoski et al. 2020 (https://data.cifor.org/dataverse/swamp?q=&fq0=country_ss%3A%22Thailand%22&types=dataverses%3Adatasets&sort=dateSort&order=desc),3031_110,Published,THA,Thailand,99.5788,7.3737,Indo West Pacific,V Carbonate,13.39,12.2,12.8,909,84.39,NA,
